tvg_id,epg_id_matched,source,duplicate_sources
BounceXL.us@SD,BounceXL.us@SD,grabber-raw-guide.xml.gz,
BratTV.us@SD,BratTV.us@SD,grabber-raw-guide.xml.gz,
Bravo.us@East,Bravo.us@East,grabber-raw-guide.xml.gz,
Bravo.us@West,Bravo.us@West,grabber-raw-guide.xml.gz,
BritBoxMysteries.us@SD,BritBoxMysteries.us@SD,grabber-raw-guide.xml.gz,
BusinessRockstars.us@SD,BusinessRockstars.us@SD,grabber-raw-guide.xml.gz,
Buzzr.us@SD,Buzzr.us@SD,grabber-raw-guide.xml.gz,
BYUTV.us@SD,BYUTV.us@SD,grabber-raw-guide.xml.gz,
CampSpoopy.us@SD,CampSpoopy.us@SD,grabber-raw-guide.xml.gz,
CBS.us@East,CBS.us@East,grabber-raw-guide.xml.gz,
CBS.us@West,CBS.us@West,grabber-raw-guide.xml.gz,
CBSNews247.us@SD,CBSNews247.us@SD,grabber-raw-guide.xml.gz,
CBSNewsBaltimore.us@SD,CBSNewsBaltimore.us@SD,grabber-raw-guide.xml.gz,
CBSNewsBayArea.us@SD,CBSNewsBayArea.us@SD,grabber-raw-guide.xml.gz,
CBSNewsBoston.us@SD,CBSNewsBoston.us@SD,grabber-raw-guide.xml.gz,
CBSNewsChicago.us@SD,CBSNewsChicago.us@SD,grabber-raw-guide.xml.gz,
CBSNewsColorado.us@SD,CBSNewsColorado.us@SD,grabber-raw-guide.xml.gz,
CBSNewsDetroit.us@SD,CBSNewsDetroit.us@SD,grabber-raw-guide.xml.gz,
CBSNewsLosAngeles.us@SD,CBSNewsLosAngeles.us@SD,grabber-raw-guide.xml.gz,
CBSNewsMiami.us@SD,CBSNewsMiami.us@SD,grabber-raw-guide.xml.gz,
CBSNewsMinnesota.us@SD,CBSNewsMinnesota.us@SD,grabber-raw-guide.xml.gz,
CBSNewsNewYork.us@SD,CBSNewsNewYork.us@SD,grabber-raw-guide.xml.gz,
CBSNewsPhilly.us@SD,CBSNewsPhilly.us@SD,grabber-raw-guide.xml.gz,
CBSNewsPittsburgh.us@SD,CBSNewsPittsburgh.us@SD,grabber-raw-guide.xml.gz,
CBSNewsSacramento.us@SD,CBSNewsSacramento.us@SD,grabber-raw-guide.xml.gz,
CBSSportsGolazoNetwork.us@SD,CBSSportsGolazoNetwork.us@SD,grabber-raw-guide.xml.gz,
CBSSportsHQ.us@SD,CBSSportsHQ.us@SD,grabber-raw-guide.xml.gz,
CBSSportsNetworkUSA.us@SD,CBSSportsNetworkUSA.us@SD,grabber-raw-guide.xml.gz,
CelebrityNameGame.us@SD,CelebrityNameGame.us@SD,grabber-raw-guide.xml.gz,
Charge.us@SD,Charge.us@SD,grabber-raw-guide.xml.gz,
CheddarNews.us@SD,CheddarNews.us@SD,grabber-raw-guide.xml.gz,
Choppertown.us@SD,Choppertown.us@SD,grabber-raw-guide.xml.gz,
CineAdrenalina.us@SD,CineAdrenalina.us@SD,grabber-raw-guide.xml.gz,
CineAmor.us@SD,CineAmor.us@SD,grabber-raw-guide.xml.gz,
CinePremiere.us@SD,CinePremiere.us@SD,grabber-raw-guide.xml.gz,
CinePride.us@SD,CinePride.us@SD,grabber-raw-guide.xml.gz,
CineRomantico.us@SD,CineRomantico.us@SD,grabber-raw-guide.xml.gz,
CineSony.us@SD,CineSony.us@SD,grabber-raw-guide.xml.gz,
CineTerror.us@US,CineTerror.us@US,grabber-raw-guide.xml.gz,
Cinevault80s.us@SD,Cinevault80s.us@SD,grabber-raw-guide.xml.gz,
CinevaultWesterns.us@SD,CinevaultWesterns.us@SD,grabber-raw-guide.xml.gz,
Circle.us@SD,Circle.us@SD,grabber-raw-guide.xml.gz,
Clarity4K.us@SD,Clarity4K.us@SD,grabber-raw-guide.xml.gz,
Classica.us@SD,Classica.us@SD,grabber-raw-guide.xml.gz,
ClassicMoviesChannel.us@SD,ClassicMoviesChannel.us@SD,grabber-raw-guide.xml.gz,
ClassicTVComedy.us@SD,ClassicTVComedy.us@SD,grabber-raw-guide.xml.gz,
ClassicTVDrama.us@SD,ClassicTVDrama.us@SD,grabber-raw-guide.xml.gz,
ClassicTVFamilies.us@US,ClassicTVFamilies.us@US,grabber-raw-guide.xml.gz,
CMT.us@East,CMT.us@East,grabber-raw-guide.xml.gz,
CMTEqualPlay.us@SD,CMTEqualPlay.us@SD,grabber-raw-guide.xml.gz,
CNBC.us@SD,CNBC.us@SD,grabber-raw-guide.xml.gz,
ColdCaseFiles.us@SD,ColdCaseFiles.us@SD,grabber-raw-guide.xml.gz,
ComedyCentral.us@East,ComedyCentral.us@East,grabber-raw-guide.xml.gz,
ComedyCentralenEspanol.us@SD,ComedyCentralenEspanol.us@SD,grabber-raw-guide.xml.gz,
ComedyCentralPlutoTV.us@US,ComedyCentralPlutoTV.us@US,grabber-raw-guide.xml.gz,
ComedyDynamics.us@SD,ComedyDynamics.us@SD,grabber-raw-guide.xml.gz,
Comet.us@SD,Comet.us@SD,grabber-raw-guide.xml.gz,
ConcertChannel.us@SD,ConcertChannel.us@SD,grabber-raw-guide.xml.gz,
CookingPanda.us@SD,CookingPanda.us@SD,grabber-raw-guide.xml.gz,
Cops.us@SD,Cops.us@SD,grabber-raw-guide.xml.gz,
CourtTV.us@SD,CourtTV.us@SD,grabber-raw-guide.xml.gz,
CoziTV.us@SD,CoziTV.us@SD,grabber-raw-guide.xml.gz,
Crime360.us@SD,Crime360.us@SD,grabber-raw-guide.xml.gz,
CrimenesImperfectos.us@SD,CrimenesImperfectos.us@SD,grabber-raw-guide.xml.gz,
CrimePlusInvestigation.us@SD,CrimePlusInvestigation.us@SD,grabber-raw-guide.xml.gz,
Crunchyroll.us@SD,Crunchyroll.us@SD,grabber-raw-guide.xml.gz,
CSI.us@SD,CSI.us@SD,grabber-raw-guide.xml.gz,
CSIenespanol.us@SD,CSIenespanol.us@SD,grabber-raw-guide.xml.gz,
CSPAN.us@SD,CSPAN.us@SD,grabber-raw-guide.xml.gz,
CuriosityNOW.de@EN,CuriosityNOW.de@EN,grabber-raw-guide.xml.gz,
DangerTV.us@SD,DangerTV.us@SD,grabber-raw-guide.xml.gz,
DarkMatterTV.us@SD,DarkMatterTV.us@SD,grabber-raw-guide.xml.gz,
Dateline247.us@SD,Dateline247.us@SD,grabber-raw-guide.xml.gz,
DaystarTV.us@SD,DaystarTV.us@SD,grabber-raw-guide.xml.gz,
DaystarTVEspanol.us@SD,DaystarTVEspanol.us@SD,grabber-raw-guide.xml.gz,
DealorNoDeal.us@SD,DealorNoDeal.us@SD,grabber-raw-guide.xml.gz,
Degrassi.us@US,Degrassi.us@US,grabber-raw-guide.xml.gz,
DesignatedSurvivor.us@SD,DesignatedSurvivor.us@SD,grabber-raw-guide.xml.gz,
DisneyChannel.us@East,DisneyChannel.us@East,grabber-raw-guide.xml.gz,
DisneyJunior.us@East,DisneyJunior.us@East,grabber-raw-guide.xml.gz,
