tvg_id,epg_id_matched,source,duplicate_sources
BabySharkTV.us@SD,BabySharkTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BabyTV.uk@LatinAmerica,BabyTV.ca,epg-xdbezrvvbu.xml.gz,
Backstage.us@SD,Backstage.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BarRescue.us@SD,BarRescue.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Baywatch.us@US,Baywatch.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BBCAmerica.us@East,BBCAmerica.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BBCAmerica.us@EastHD,BBCAmerica.us,epg-xdbezrvvbu.xml.gz,
BBCEarth.uk@US,BBCEarth.uk@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BBCFood.us@SD,BBCFood.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BBCHomeGarden.us@SD,BBCHomeGarden.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
beINSportsenEspanol.qa@SD,beINSportsenEspanol.qa@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
beINSportsUSA.us@SD,beINSportsUSA.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
beINSPORTSXTRA.us@SD,beINSPORTSXTRA.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
beINSPORTSXTRAenEspanol.us@SD,beINSPORTSXTRAenEspanol.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BellatorMMA.us@SD,BellatorMMA.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
BestofDrPhil.us@SD,BestofDrPhil.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
BET.us@West,BET.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
