tvg_id,epg_id_matched,source,duplicate_sources
BlazeLive.us@SD,BlazeLive.us@SD,grabber-epg,urls-epg
BloombergOriginals.us@SD,BloombergOriginals.us@SD,grabber-epg,urls-epg
BloombergOriginals.us@US,BloombergOriginals.us@US,grabber-epg,
BloombergTV.us@LiveEvent,BloombergTV.us@LiveEvent,grabber-epg,
BlueBloods.us@SD,BlueBloods.us@SD,grabber-epg,urls-epg
Bonanza.us@SD,Bonanza.us@SD,urls-epg,
bonappetit.us@SD,bonappetit.us@SD,grabber-epg,urls-epg
Bounce.us@SD,Bounce.us@SD,grabber-epg,
BounceXL.us@SD,BounceXL.us@SD,grabber-epg,urls-epg
BratTV.us@SD,BratTV.us@SD,grabber-epg,urls-epg
Bravo.us@East,Bravo.us@East,grabber-epg,urls-epg
BritBoxMysteries.us@SD,BritBoxMysteries.us@SD,grabber-epg,urls-epg
BusinessRockstars.us@SD,BusinessRockstars.us@SD,grabber-epg,
Buzzr.us@SD,Buzzr.us@SD,grabber-epg,urls-epg
BYUTV.us@SD,BYUTV.us@SD,grabber-epg,urls-epg
CampSpoopy.us@SD,CampSpoopy.us@SD,grabber-epg,
CarChase.us@SD,CarChase.us@SD,urls-epg,
CatchyComedy.us@SD,CatchyComedy.us@SD,urls-epg,
CatholicTV.us@SD,CatholicTV.us@SD,urls-epg,
CBNNews.us@SD,CBNNews.us@SD,urls-epg,
CBS.us@West,CBS.us@West,grabber-epg,
CBSNews247.us@SD,CBSNews247.us@SD,grabber-epg,
CBSNewsBaltimore.us@SD,CBSNewsBaltimore.us@SD,grabber-epg,urls-epg
CBSNewsBayArea.us@SD,CBSNewsBayArea.us@SD,grabber-epg,urls-epg
CBSNewsBoston.us@SD,CBSNewsBoston.us@SD,grabber-epg,urls-epg
CBSNewsChicago.us@SD,CBSNewsChicago.us@SD,grabber-epg,urls-epg
CBSNewsColorado.us@SD,CBSNewsColorado.us@SD,grabber-epg,urls-epg
CBSNewsDetroit.us@SD,CBSNewsDetroit.us@SD,grabber-epg,urls-epg
CBSNewsLosAngeles.us@SD,CBSNewsLosAngeles.us@SD,grabber-epg,urls-epg
CBSNewsMiami.us@SD,CBSNewsMiami.us@SD,grabber-epg,urls-epg
CBSNewsMinnesota.us@SD,CBSNewsMinnesota.us@SD,grabber-epg,urls-epg
CBSNewsNewYork.us@SD,CBSNewsNewYork.us@SD,grabber-epg,urls-epg
CBSNewsPhilly.us@SD,CBSNewsPhilly.us@SD,grabber-epg,
CBSNewsPittsburgh.us@SD,CBSNewsPittsburgh.us@SD,grabber-epg,urls-epg
CBSNewsSacramento.us@SD,CBSNewsSacramento.us@SD,grabber-epg,urls-epg
CBSSportsGolazoNetwork.us@SD,CBSSportsGolazoNetwork.us@SD,grabber-epg,urls-epg
CBSSportsHQ.us@SD,CBSSportsHQ.us@SD,grabber-epg,urls-epg
CBSSportsNetworkUSA.us@SD,CBSSportsNetworkUSA.us@SD,grabber-epg,
CelebrityNameGame.us@SD,CelebrityNameGame.us@SD,grabber-epg,
Charge.us@SD,Charge.us@SD,grabber-epg,
CheddarNews.us@SD,CheddarNews.us@SD,grabber-epg,
Choppertown.us@SD,Choppertown.us@SD,grabber-epg,urls-epg
CineAdrenalina.us@SD,CineAdrenalina.us@SD,grabber-epg,urls-epg
CineAmor.us@SD,CineAmor.us@SD,grabber-epg,urls-epg
Cineaventura.us@SD,Cineaventura.us@SD,urls-epg,
CinePremiere.us@SD,CinePremiere.us@SD,grabber-epg,urls-epg
CinePride.us@SD,CinePride.us@SD,grabber-epg,
CineRomantico.us@SD,CineRomantico.us@SD,grabber-epg,
CineSony.us@SD,CineSony.us@SD,grabber-epg,urls-epg
CineTerror.us@US,CineTerror.us@US,grabber-epg,urls-epg
Cinevault80s.us@SD,Cinevault80s.us@SD,grabber-epg,
CinevaultWesterns.us@SD,CinevaultWesterns.us@SD,grabber-epg,urls-epg
Circle.us@SD,Circle.us@SD,grabber-epg,
Clarity4K.us@SD,Clarity4K.us@SD,grabber-epg,
Classica.us@SD,Classica.us@SD,grabber-epg,urls-epg
ClassicCinema.us@SD,ClassicCinema.us@SD,urls-epg,
ClassicMoviesChannel.us@SD,ClassicMoviesChannel.us@SD,grabber-epg,urls-epg
ClassicMovieWesterns.us@SD,ClassicMovieWesterns.us@SD,urls-epg,
ClassicTVComedy.us@SD,ClassicTVComedy.us@SD,grabber-epg,urls-epg
ClassicTVCrimeDrama.us@SD,ClassicTVCrimeDrama.us@SD,urls-epg,
ClassicTVDrama.us@SD,ClassicTVDrama.us@SD,grabber-epg,urls-epg
ClassicTVFamilies.us@US,ClassicTVFamilies.us@US,grabber-epg,
CleoTV.us@SD,CleoTV.us@SD,urls-epg,
CMT.us@East,CMT.us@East,grabber-epg,urls-epg
CMTEqualPlay.us@SD,CMTEqualPlay.us@SD,grabber-epg,urls-epg
CMTV.us@SD,CMTV.us@SD,urls-epg,
CNBC.us@SD,CNBC.us@SD,grabber-epg,urls-epg
ColdCaseFiles.us@SD,ColdCaseFiles.us@SD,grabber-epg,
ComedyCentral.us@East,ComedyCentral.us@East,grabber-epg,urls-epg
ComedyCentralenEspanol.us@SD,ComedyCentralenEspanol.us@SD,grabber-epg,
ComedyCentralPlutoTV.us@US,ComedyCentralPlutoTV.us@US,grabber-epg,urls-epg
ComedyDynamics.us@SD,ComedyDynamics.us@SD,grabber-epg,urls-epg
ComedyTV.us@SD,ComedyTV.us@SD,urls-epg,
Comet.us@SD,Comet.us@SD,grabber-epg,urls-epg
ConcertChannel.us@SD,ConcertChannel.us@SD,grabber-epg,
CookingPanda.us@SD,CookingPanda.us@SD,grabber-epg,
Cops.us@SD,Cops.us@SD,grabber-epg,urls-epg
CornerstoneTV.us@SD,CornerstoneTV.us@SD,urls-epg,
CourtTV.us@SD,CourtTV.us@SD,grabber-epg,urls-epg
CoziTV.us@SD,CoziTV.us@SD,grabber-epg,urls-epg
Crime360.us@SD,Crime360.us@SD,grabber-epg,
CrimenesImperfectos.us@SD,CrimenesImperfectos.us@SD,grabber-epg,
CrimePlusInvestigation.us@SD,CrimePlusInvestigation.us@SD,grabber-epg,urls-epg
Crunchyroll.us@SD,Crunchyroll.us@SD,grabber-epg,urls-epg
CSI.us@SD,CSI.us@SD,grabber-epg,urls-epg
CSIenespanol.us@SD,CSIenespanol.us@SD,grabber-epg,
CSPAN.us@SD,CSPAN.us@SD,grabber-epg,urls-epg
CSPAN2.us@SD,CSPAN2.us@SD,urls-epg,
CTN.us@SD,CTN.us@SD,urls-epg,
CuriosityNOW.de@EN,CuriosityNOW.de@EN,grabber-epg,urls-epg
Dabl.us@SD,Dabl.us@SD,urls-epg,
DangerTV.us@SD,DangerTV.us@SD,grabber-epg,urls-epg
DarkMatterTV.us@SD,DarkMatterTV.us@SD,grabber-epg,
Dateline247.us@SD,Dateline247.us@SD,grabber-epg,
DatingDisasters.us@SD,DatingDisasters.us@SD,urls-epg,
DaystarTV.us@SD,DaystarTV.us@SD,grabber-epg,
DaystarTVEspanol.us@SD,DaystarTVEspanol.us@SD,grabber-epg,
DealorNoDeal.us@SD,DealorNoDeal.us@SD,grabber-epg,urls-epg
Degrassi.us@US,Degrassi.us@US,grabber-epg,urls-epg
DesignatedSurvivor.us@SD,DesignatedSurvivor.us@SD,grabber-epg,
DiscoveryTurbo.us@SD,DiscoveryTurbo.us@SD,urls-epg,
DisneyChannel.us@East,DisneyChannel.us@East,grabber-epg,urls-epg
DisneyJunior.us@East,DisneyJunior.us@East,grabber-epg,urls-epg
DisneyXD.us@East,DisneyXD.us@East,grabber-epg,urls-epg
DoctorWhoClassic.us@US,DoctorWhoClassic.us@US,grabber-epg,urls-epg
DocumentaryPlus.us@US,DocumentaryPlus.us@US,grabber-epg,
DogtheBountyHunter.us@US,DogtheBountyHunter.us@US,grabber-epg,urls-epg
DogTV.us@SD,DogTV.us@SD,grabber-epg,urls-epg
DontTellTheBride.uk@SD,DontTellTheBride.uk@SD,grabber-epg,
DoveChannel.us@SD,DoveChannel.us@SD,grabber-epg,urls-epg
DraftKingsNetwork.us@SD,DraftKingsNetwork.us@SD,grabber-epg,urls-epg
DryBarComedyPlus.us@SD,DryBarComedyPlus.us@SD,grabber-epg,
DungeonTV.us@SD,DungeonTV.us@SD,grabber-epg,
Dynasty.us@SD,Dynasty.us@SD,urls-epg,
E.us@West,E.us@West,grabber-epg,
EbonyTVbyLionsgate.us@SD,EbonyTVbyLionsgate.us@SD,grabber-epg,urls-epg
EKeepingUp.us@SD,EKeepingUp.us@SD,grabber-epg,urls-epg
ElectricNow.us@SD,ElectricNow.us@SD,grabber-epg,urls-epg
EntertainmentTonight.us@SD,EntertainmentTonight.us@SD,grabber-epg,
ESPNDeportes.us@SD,ESPNDeportes.us@SD,grabber-epg,urls-epg
ESPNews.us@SD,ESPNews.us@SD,grabber-epg,urls-epg
ESPNU.us@SD,ESPNU.us@SD,grabber-epg,urls-epg
EstrellaGames.us@SD,EstrellaGames.us@SD,grabber-epg,
EstrellaNews.us@SD,EstrellaNews.us@SD,grabber-epg,urls-epg
EstrellaTV.us@SD,EstrellaTV.us@SD,grabber-epg,urls-epg
EWTN.us@English,EWTN.us@English,grabber-epg,urls-epg
F1Channel.ie@US,F1Channel.ie@US,grabber-epg,urls-epg
FailArmy.us@US,FailArmy.us@US,grabber-epg,urls-epg
FamilyTies.us@SD,FamilyTies.us@SD,grabber-epg,urls-epg
FanDuelRacing.us@SD,FanDuelRacing.us@SD,grabber-epg,urls-epg
FanDuelTV.us@SD,FanDuelTV.us@SD,grabber-epg,urls-epg
Farscape.us@SD,Farscape.us@SD,grabber-epg,
FastTV.us@SD,FastTV.us@SD,grabber-epg,
FearFactor.us@US,FearFactor.us@US,grabber-epg,urls-epg
FeelGoodDrama.us@SD,FeelGoodDrama.us@SD,urls-epg,
FETV.us@SD,FETV.us@SD,urls-epg,
FIFAPlus.uk@UnitedStates,FIFAPlus.uk@UnitedStates,grabber-epg,
FilmRiseAnime.us@SD,FilmRiseAnime.us@SD,grabber-epg,urls-epg
